customer_id,full_name,email,signup_date,segment,city,product_holdings,monthly_income_band,status,churn_date
C0001,Grace Brennan,grace.brennan@example.invalid,2025-07-18,Student,Cork,current_account|debit_card,2500-4000,active,
C0002,Sean Murphy,sean.murphy@example.invalid,2026-01-20,Family,Galway,current_account|debit_card|fx_wallet,0-1500,active,
C0003,Liam Walsh,liam.walsh@example.invalid,2025-03-19,Young Professional,Dublin,current_account|debit_card|savings,2500-4000,active,
C0004,Aoife Gallagher,aoife.gallagher@example.invalid,2024-11-24,Family,Dublin,current_account|debit_card|savings,0-1500,active,
C0005,Orla Brennan,orla.brennan@example.invalid,2025-08-23,Family,Waterford,current_account|debit_card|fx_wallet,4000+,churned,2026-06-30
C0006,Erin Nolan,erin.nolan@example.invalid,2024-04-11,Family,Dublin,current_account|debit_card|savings,4000+,active,
C0007,Maeve Duffy,maeve.duffy@example.invalid,2024-08-08,Micro Business,Dublin,current_account|debit_card|business_account|savings|fx_wallet,0-1500,churned,2026-03-31
C0008,Cian Duffy,cian.duffy@example.invalid,2025-08-19,Young Professional,Sligo,current_account|debit_card|savings|credit_card,0-1500,active,
C0009,Saoirse Hayes,saoirse.hayes@example.invalid,2025-03-29,Young Professional,Limerick,current_account|debit_card|savings|credit_card,1500-2500,churned,2026-07-31
C0010,Andrei Popescu,andrei.popescu@example.invalid,2024-01-21,Young Professional,Drogheda,current_account|debit_card,0-1500,churned,2026-07-31
C0011,Liam Nowak,liam.nowak@example.invalid,2024-10-09,Micro Business,Cork,current_account|debit_card|business_account|savings,4000+,active,
C0012,Ruairi Kowalski,ruairi.kowalski@example.invalid,2024-02-17,Young Professional,Limerick,current_account|debit_card|savings|fx_wallet,2500-4000,active,
C0013,Cian Quinn,cian.quinn@example.invalid,2024-12-17,Student,Dublin,current_account|debit_card|savings,2500-4000,active,
C0014,Saoirse Moran,saoirse.moran@example.invalid,2024-08-21,Micro Business,Dublin,current_account|debit_card|business_account|savings|credit_card,4000+,active,
C0015,Cormac Fitzgerald,cormac.fitzgerald@example.invalid,2026-04-17,Student,Limerick,current_account|debit_card,0-1500,churned,2026-07-31
C0016,Mateo Walsh,mateo.walsh@example.invalid,2025-09-10,Family,Drogheda,current_account|debit_card,1500-2500,active,
C0017,Liam Fitzgerald,liam.fitzgerald@example.invalid,2024-04-27,Student,Dublin,current_account|debit_card,1500-2500,active,
C0018,Eoin Kelly,eoin.kelly@example.invalid,2025-10-04,Young Professional,Dublin,current_account|debit_card|credit_card|fx_wallet,2500-4000,active,
C0019,Marek O'Brien,marek.obrien@example.invalid,2025-12-31,Freelancer,Dublin,current_account|debit_card,1500-2500,active,
C0020,Conor Hayes,conor.hayes@example.invalid,2024-03-07,Micro Business,Drogheda,current_account|debit_card|business_account|savings,1500-2500,active,
C0021,Ciara Kelly,ciara.kelly@example.invalid,2026-03-29,Family,Dublin,current_account|debit_card|savings,2500-4000,active,
C0022,Sean Doyle,sean.doyle@example.invalid,2025-03-26,Micro Business,Dublin,current_account|debit_card|business_account|credit_card,4000+,active,
C0023,Marek Fitzgerald,marek.fitzgerald@example.invalid,2024-01-07,Young Professional,Limerick,current_account|debit_card|credit_card,0-1500,active,
C0024,Cormac Doyle,cormac.doyle@example.invalid,2025-02-07,Family,Dublin,current_account|debit_card|savings,1500-2500,active,
C0025,Darragh Popescu,darragh.popescu@example.invalid,2025-01-14,Micro Business,Sligo,current_account|debit_card|business_account,0-1500,churned,2026-06-30
C0026,Saoirse Silva,saoirse.silva@example.invalid,2024-07-19,Family,Dublin,current_account|debit_card,2500-4000,active,
C0027,Eoin Brennan,eoin.brennan@example.invalid,2024-11-25,Family,Limerick,current_account|debit_card|savings,0-1500,active,
C0028,Elena O'Brien,elena.obrien@example.invalid,2025-05-26,Young Professional,Cork,current_account|debit_card|savings|credit_card,0-1500,active,
C0029,Aoife Nowak,aoife.nowak@example.invalid,2024-02-08,Family,Dublin,current_account|debit_card|savings|credit_card,0-1500,active,
C0030,Grace Silva,grace.silva@example.invalid,2024-07-17,Micro Business,Dublin,current_account|debit_card|business_account,1500-2500,churned,2026-07-31
C0031,Sean Byrne,sean.byrne@example.invalid,2025-06-10,Freelancer,Cork,current_account|debit_card|savings,2500-4000,churned,2026-06-30
C0032,Grace Popescu,grace.popescu@example.invalid,2024-01-17,Young Professional,Galway,current_account|debit_card|savings|credit_card,0-1500,active,
C0033,Niamh Nolan,niamh.nolan@example.invalid,2024-11-19,Student,Dublin,current_account|debit_card|credit_card,1500-2500,active,
C0034,Tomasz Kowalski,tomasz.kowalski@example.invalid,2024-08-02,Family,Dublin,current_account|debit_card,1500-2500,churned,2026-07-31
C0035,Niamh Byrne,niamh.byrne@example.invalid,2024-06-09,Student,Waterford,current_account|debit_card,2500-4000,churned,2026-04-30
